Nome,Danos Min,Danos Max,Encaixe,Resistência,Agilidade,Preço de Venda,Skills Uma Mão,Moral,Notas
Lâmina de Trovão Lycan,119,143,3,-18,+16,3200,475,, 
Golpe de Esmeralda,108,130,3,-21,+12,157000,467,, 
Dicer Brilhante,106,128,3,-21,+12,147500,459,, 
Obra-Prima Cromática,113,137,3,-18,+15,3100,451,,"Skills de duas mãos"
Cicatriz,102,124,3,-21,+12,138000,443,, 
Machado Lycan Escalante,101,122,3,-20,+11,129000,436,, 
Espada de Jeronimus,107,131,3,-18,+15,3050,429,, 
Lâmina de Diamante,99,121,3,-19,+12,121264,424,, 
Espada da Sedução,99,121,3,-19,+12,121264,424,-83000, 
???? [Bazar],,,,3,,,3025,421,, 
Lâmina da Raive [Bazar],98,118,3,-20,+11,113000,419,, 
Machado Perdido do Herdeiro,103,126,3,-18,+14,3000,414,, 
Martelo da Batalha Mística,95,115,3,-20,+11,115338,409,, 
Espada Vorpal de Sizzling,101,123,3,-18,+14,2975,404,, 
Machado do Poder Eterno [Bazar],94,113,3,-20,+11,108830,404,, 
????,93,112,3,-20,+11,113558,399,, 
Lança Bárbara,98,120,3,-18,+14,2950,394,, 
Espada da Liberdade,90,109,3,-20,+11,104400,389,, 
Machado Esmeralda Rasgado,96,118,3,-17,+14,2925,386,, 
Lâmina de Wotan,89,109,3,-19,+12,109804,384,, 
Duplo Gume de Ferro,89,109,3,-19,+12,109824,384,-30000, 
Vingador de Odin,94,115,3,-17,+14,2900,379,, 
Poder Encantado [Bazar],87,104,3,-20,+11,105468,374,, 
Martelo Raptor Iridescente [Bazar],92,113,3,-17,+13,2875,369,, 
Cortador Gelado,86,103,3,-20,+11,104058,369,, 
Tridente da Iluminação,83,100,3,-20,+11,102648,364,, 
Espada da Batalha de Zeus,90,110,3,-17,+13,2850,359,, 
Poderoso Martelo Precioso,82,98,3,-19,+10,95398,349,, 
Briladeiras Tóxicas,87,107,3,-17,+13,4250,349,, 
Sabre da Luz Tempestoso,79,97,3,-18,+11,92400,344,+27000, 
Sabre Venenoso da Dança,79,97,3,-18,+11,92400,344,+27000, 
Divisor de Zoron,85,104,3,-17,+13,2800,339,, 
Basher Farpado de Boswell,83,100,3,-17,+13,2775,329,, 
Espada de Rakshasa,78,92,3,-19,+10,92778,329,, 
Lâmina Vorpal Antiga,79,91,3,-19,+10,91368,324,, 
Machado Vulcânico Latente,80,97,3,-17,+13,2750,319,, 
Rachador de Crânio de Cêra,77,94,3,-17,+12,2700,309,, 
Azulejo Destrutivo do Azure,72,86,3,-19,+10,87138,309,, 
Espada de Rubi Espinhosa,71,85,3,-19,+10,85728,304,, 
Assobiando Espada Curta,75,91,3,-17,+12,2700,299,, 
Espetos Cruéis,69,83,3,-19,+10,82908,294,, 
Machado de Geada Filigrana,73,89,3,-16,+12,2675,290,, 
Cadeia Ardente da Morte,68,83,3,-18,+11,75200,289,+24000, 
Cadeia Intermitente da Morte,68,83,3,-18,+11,75200,289,-34000, 
Lâmina Gelada de Frio Mortal,67,80,3,-18,+10,78960,280,, 
Machado Duplo da Necromancia,69,85,3,-16,+12,2630,275,, 
Corrente de Aço da Morte,66,79,3,-18,+10,77350,275,, 
Espada Phoenix,68,83,3,-16,+12,2575,265,, 
Machado de Raios das Eras,63,76,3,-18,+10,73320,260,, 
Lâmina de Serra,62,74,3,-18,+10,71910,255,, 
Concurso do Ártico,66,81,3,-18,+12,2550,255,, 
Adaga Arcana do Oficial,63,73,3,-18,+10,70500,250,, 
Machado Magnífico dos Reis,64,78,3,-16,+12,2525,245,, 
Folce de Combate Poderosa,59,71,3,-17,+10,68926,241,+21000, 
Folce de Combate Tóxico,59,71,3,-17,+10,68926,241,-21000, 
Farpas de Poder,62,77,3,-18,+11,2450,236,, 
Folha de Batalhas Eternas [Bazar],56,69,3,-17,+10,65700,232,, 
Espada do Defensor Ardente [Bazar],55,68,3,-17,+10,64100,228,, 
Lâmina Verde do Nobre [Bazar],58,73,3,-16,+11,2375,224,, 
Espada Larga de Nimrod [Bazar],53,65,3,-17,+10,62500,219,, 
Serra de Combustão Lenta,52,64,3,-17,+10,61750,215,, 
Bebedor de Vida Gelada [Bazar],55,66,3,-15,+10,2300,211,, 
