Nome,Dano Tipo,Dano Valor,Preço de Venda,Condição Level,Moral,Notas
Pedra de Gelo (+1),Gelo,1,350,5,, 
Pedra do Dragão (+1),Dragão,1,120,5,, 
Pedra de Fogo (+1),Fogo,1,350,6,, 
Pedra do Raio (+1) - Bazar,Raio,1,400,7,,Bazar
Sagrado (+1),Sagrado,1,450,8,+100, 
Poder da Sombra (+1),Sombra,1,450,8,-100, 
Pedra de Gelo (+2),Gelo,2,1350,9,, 
Pedra do Dragão (+2),Dragão,2,150,9,, 
Pedra de Fogo (+2),Fogo,2,1350,10,, 
Pedra do Raio (+2) - Bazar,Raio,2,1400,11,,Bazar
Poder da Sombra (+2),Sombra,2,1450,12,-500, 
Sagrado (+2),Sagrado,2,1450,12,+500, 
Pedra do Dragão (+3),Dragão,3,300,13,, 
Pedra de Gelo (+3),Gelo,3,2350,14,, 
Pedra de Fogo (+3),Fogo,3,2350,15,, 
Pedra do Raio (+3) - Bazar,Raio,3,2400,16,,Bazar
Poder da Sombra (+3),Sombra,3,2450,18,-1500, 
Sagrado (+3),Sagrado,3,2450,18,+1500, 
Pedra do Dragão (+4),Dragão,4,450,20,, 
Pedra de Gelo (+4),Gelo,4,5350,22,, 
Pedra de Fogo (+4),Fogo,4,5350,24,, 
Pedra do Raio (+4) - Bazar,Raio,4,5400,26,,Bazar
Poder da Sombra (+4),Sombra,4,5450,29,-4000, 
Sagrado (+4),Sagrado,4,5450,29,+4000, 
Pedra do Dragão (+5),Dragão,5,600,32,, 
Pedra de Gelo (+5),Gelo,5,6350,34,, 
Pedra de Fogo (+5),Fogo,5,6350,36,, 
Pedra do Raio (+5) - Bazar,Raio,5,6400,37,,Bazar
Poder da Sombra (+5),Sombra,5,6450,38,-7000, 
Sagrado (+5),Sagrado,5,6450,38,+7000, 
Pedra do Dragão (+6),Dragão,6,750,39,, 
Pedra de Gelo (+6),Gelo,6,7350,40,, 
Pedra de Fogo (+6),Fogo,6,7350,42,, 
Pedra do Raio (+6) - Bazar,Raio,6,8400,44,,Bazar
Poder da Sombra (+6),Sombra,6,8450,47,-10000, 
Sagrado (+6),Sagrado,6,8450,47,+10000, 
Pedra do Dragão (+7),Dragão,7,900,50,, 
Pedra de Gelo (+7),Gelo,7,9350,53,, 
Pedra de Fogo (+7),Fogo,7,9350,56,, 
Pedra do Raio (+7) - Bazar,Raio,7,9400,59,,Bazar
Poder da Sombra (+7),Sombra,7,9450,63,-13000, 
Sagrado (+7),Sagrado,7,9450,63,+13000, 
Pedra do Dragão (+8),Dragão,8,1050,68,, 
Pedra de Gelo (+8),Gelo,8,10350,70,, 
Pedra de Fogo (+8),Fogo,8,10350,72,, 
Pedra do Raio (+8) - Bazar,Raio,8,10400,74,,Bazar
Poder da Sombra (+8),Sombra,8,10450,77,-16000, 
Sagrado (+8),Sagrado,8,10450,77,+16000, 
Pedra do Dragão (+9),Dragão,9,1075,80,, 
Pedra de Gelo (+9),Gelo,9,10800,83,, 
Pedra de Fogo (+9),Fogo,9,10900,86,, 
Pedra do Raio (+9) - Bazar,Raio,9,10900,89,,Bazar
Poder da Sombra (+9),Sombra,9,11000,93,-20000, 
Sagrado (+9),Sagrado,9,11000,93,+20000, 
Pedra do Dragão (+10),Dragão,10,1100,98,, 
Pedra de Gelo (+10),Gelo,10,12250,101,, 
Pedra de Fogo (+10),Fogo,10,12400,104,, 
Pedra do Raio (+10) - Bazar,Raio,10,12650,107,,Bazar
Poder da Sombra (+10),Sombra,10,12800,110,-25000, 
Sagrado (+10),Sagrado,10,12800,110,+25000, 
Pedra do Dragão (+11),Dragão,11,1150,114,, 
Pedra de Gelo (+11),Gelo,11,13000,118,, 
Pedra de Fogo (+11),Fogo,11,13000,122,, 
Pedra do Raio (+11) - Bazar,Raio,11,13350,126,,Bazar
Poder da Sombra (+11),Sombra,11,13700,130,-29000, 
Sagrado (+11),Sagrado,11,13700,130,+29000, 
Pedra do Dragão (+12),Dragão,12,1175,134,, 
Pedra de Gelo (+12),Gelo,12,13900,135,, 
Pedra de Fogo (+12),Fogo,12,14100,142,, 
Sagrado (+12),Sagrado,12,14500,150,+33000, 
Poder da Sombra (+12),Sombra,12,14500,150,-33000, 
Pedra do Dragão (+13),Dragão,13,1200,154,, 
Pedra de Gelo (+13),Gelo,13,14750,158,, 
Pedra de Fogo (+13),Fogo,13,15000,161,, 
Pedra do Raio (+13) - Bazar,Raio,13,15250,164,,Bazar
Poder da Sombra (+13),Sombra,13,15500,167,-38000, 
Raio de Magia (+13),Magia,13,15750,170,+38000, 
Pedra do Dragão (+14),Dragão,14,1225,173,, 
Pedra de Gelo (+14),Gelo,14,16000,176,, 
Pedra de Fogo (+14),Fogo,14,16250,179,, 
